,countries,rmse,total_error
0,United Kingdom,37.21341732913876,501.6434518827664
1,Italy,173.80858590004257,2098.949756402188
2,Germany,67.4781523238214,839.0378197097006
3,Spain,180.43077321045976,2255.178198017766
4,US,638.9188830762852,-5743.687745664276
5,France,285.98906494488995,3677.8395430190185
6,Belgium,93.01699377480493,1151.5910119418706
7,"Korea, South",4.171577063005026,51.16981853786149
8,Brazil,620.9319804707261,-7820.0839224822375
9,Iran,144.6114778644094,-1764.5448138813126
10,Netherlands,71.94320660675199,909.7841803680843
11,Canada,79.24446578585136,970.2787614610927
12,Turkey,47.06863428221876,592.7342085383373
13,Romania,14.095110878713045,183.65415813112946
14,Portugal,15.230050900555609,187.02710794822454
15,Sweden,55.07459951392497,697.6269683909933
16,Switzerland,35.27034827457446,441.5754948060939
17,Ireland,18.07411869619478,229.73693185176404
18,Hungary,8.132204373040803,103.78908164304313
19,Denmark,10.574487340266046,133.330823133808
20,Austria,11.271554119026218,142.24041214804703
21,Mexico,218.15837839264356,2812.4783186848254
22,India,2617.800245667768,32351.384791728284
23,Ecuador,9.100530648014274,74.77211770124313
24,Russia,122.12095871588734,-1443.8549977353846
25,Peru,66.04714213885791,-896.0873415571368
26,Indonesia,26.516675632568663,349.54610708517873
27,Poland,2.83393982952293,-32.57837596260532
28,Philippines,16.615313604121802,138.48613053018738
29,Japan,4.225698094542849,50.16381605835018
30,Pakistan,332.36139812568825,4095.921367936625
