,countries,rmse,total_error
0,United Kingdom,97.30865927664993,-1153.7160633594867
1,Italy,100.64064170986386,1164.9259070253906
2,Germany,269.65685014670635,3211.9121611130267
3,Spain,94.81196091357698,1117.1496630892912
4,US,1541.5116735847807,-17037.287031420223
5,France,447.7017094027918,-5745.956948357915
6,Belgium,172.4011501016199,2129.575498161626
7,"Korea, South",4.803326998156788,61.67646723021852
8,Brazil,1157.1923236033663,-14614.498733402175
9,Iran,222.64942533981613,-2718.0908284530005
10,Netherlands,30.54859601059385,377.38221024387343
11,Canada,80.35714836785849,-1044.9893599477352
12,Turkey,42.78395161583746,533.7811635801311
13,Romania,2.2291308744520686,23.132802723214866
14,Portugal,7.080359785544709,81.04258647235795
15,Sweden,56.9195617433647,700.881269421776
16,Switzerland,31.042735847964614,390.4765048895643
17,Ireland,6.373337264396498,78.43939193142735
18,Hungary,7.891609738918114,101.66383611554683
19,Denmark,8.13869601207725,101.30160477309477
20,Austria,8.906595667139744,112.1038527661453
21,Mexico,846.8124182305359,-10306.465027390532
22,India,659.178412264076,-8651.916210420215
23,Ecuador,16.773210706788152,-216.00839748217732
24,Russia,28.991880057220143,-285.99770596692497
25,Peru,356.216033775831,-4466.531209998568
26,Indonesia,62.99518932857141,-790.5382279695081
27,Poland,4.3483792711622105,-54.893172026445484
28,Philippines,14.05772632149206,-55.79026957109062
29,Japan,4.919016864360363,59.997149213860624
30,Pakistan,52.68613860317696,565.1686823953294
