,countries,rmse,total_error
0,United Kingdom,25.380200590739584,-247.75663416902535
1,Italy,18.530354733327474,-258.0816343125583
2,Germany,85.60685428673338,1059.4089213179102
3,Spain,39.60813093176721,493.70037483743783
4,US,289.3444203677243,921.0434976895776
5,France,19.150514059647715,-216.80729639762365
6,Belgium,50.710553482611765,621.8618493579918
7,"Korea, South",3.466983195664117,42.45122786378093
8,Brazil,256.80666553876205,-3445.434124868465
9,Iran,162.6206815715427,-1958.7135671171882
10,Netherlands,7.896823057462666,97.74390727718622
11,Canada,171.76935086193072,2071.0473030881635
12,Turkey,52.563969007270806,671.4428773691732
13,Romania,0.764003794111591,7.153264035305767
14,Portugal,2.566252296081572,22.9540476343864
15,Sweden,22.779938539213486,270.3788192409471
16,Switzerland,19.264739766027425,242.9934880178886
17,Ireland,5.64906330586227,71.15276489374533
18,Hungary,7.580660013303908,97.54637112991146
19,Denmark,7.575124452794736,92.9990356710561
20,Austria,7.05305407587726,88.23077578741767
21,Mexico,547.0534873627296,6767.673632900805
22,India,838.7515384654771,10637.270577563502
23,Ecuador,24.750755677141754,288.84295831181316
24,Russia,99.58804728504113,-1167.2148740560938
25,Peru,79.98111698533626,-1061.4685341417098
26,Indonesia,45.41560862950042,-532.2869519005859
27,Poland,1.0462402644634492,11.810263917863551
28,Philippines,38.50196035192006,488.37164082809517
29,Japan,2.431626176618493,26.665600136650387
30,Pakistan,1134.5714175675637,13934.34469190956
