,countries,rmse,total_error
0,United Kingdom,35.61184795318534,475.0622069877936
1,Italy,61.97006527988482,696.2087762341367
2,Germany,53.51374252235322,665.3212033168819
3,Spain,81.76305403093997,1017.9860355860006
4,US,989.9144432599422,13410.253996965723
5,France,206.8495044480215,2667.684940628468
6,Belgium,56.67556076128584,699.0769740850603
7,"Korea, South",3.183913040477841,38.97674332261411
8,Brazil,1237.4376893524716,14507.368337641205
9,Iran,153.35591503672416,-1871.0775382093407
10,Netherlands,12.09674823373182,148.6403102438348
11,Canada,150.4113863712877,1831.015908956036
12,Turkey,41.936645045227706,528.0390285047358
13,Romania,1.1311429765900314,-10.55169476663292
14,Portugal,3.8457384533053136,42.70585046609679
15,Sweden,8.771487786457579,94.86364733898344
16,Switzerland,18.200042957538177,228.80313080882516
17,Ireland,7.41292784466952,93.89331076003653
18,Hungary,6.639869797455166,85.70713037724967
19,Denmark,7.196116873509433,88.53181083685308
20,Austria,6.679496479541456,83.50026774043125
21,Mexico,2416.2982262830083,29442.394082001436
22,India,2201.3581606080875,27737.167402955427
23,Ecuador,69.58891034117039,870.9473980599964
24,Russia,102.16445323739498,-1198.5827705689412
25,Peru,1719.5070812186043,20748.644746397473
26,Indonesia,22.79496170686944,301.9941095324449
27,Poland,1.1130788929967723,14.109378622323504
28,Philippines,25.689854308171753,314.19987177681065
29,Japan,2.362636423782776,25.843377104566702
30,Pakistan,2318.656930109777,27977.478305767683
