,countries,rmse,total_error
0,United Kingdom,110.91807601587264,1405.8063244700024
1,Italy,179.53596232138148,2165.2124381943836
2,Germany,103.82202304432667,1280.813491254128
3,Spain,220.5301734538773,2720.756101421685
4,US,361.45307398256654,-1700.8982986676056
5,France,350.6098585339695,4496.061581487814
6,Belgium,104.97439022962372,1284.3497215085238
7,"Korea, South",4.309907412349871,52.80458408488937
8,Brazil,93.66239695746853,-1223.0400573025872
9,Iran,142.27108693839875,-1735.1061005060265
10,Netherlands,75.55165884233051,950.647298737791
11,Canada,157.58137503896066,1944.071038192021
12,Turkey,73.95184461906119,927.6040880090834
13,Romania,16.03775477545779,206.1980571827484
14,Portugal,18.786246949435057,226.45875170110926
15,Sweden,22.719153576194362,281.59854254179766
16,Switzerland,34.172278595062586,425.5401047220856
17,Ireland,16.914207967347558,214.2429074229256
18,Hungary,8.722634107048496,111.0737805177405
19,Denmark,11.351472610444217,141.67279543217688
20,Austria,13.115666716149521,165.40271211484185
21,Mexico,65.82817892206481,-584.3237238450201
22,India,1032.8001835594878,13040.951169624901
23,Ecuador,13.947731808290062,171.2178686890261
24,Russia,52.076803230562106,642.5955491924828
25,Peru,198.36082849709882,2263.1135385504094
26,Indonesia,4.853502266251486,56.47071671925585
27,Poland,1.105384037762334,14.095749122907648
28,Philippines,20.95512324041632,222.8276402885695
29,Japan,6.306673248602709,78.22560897741387
30,Pakistan,330.28361452931944,4129.862620249396
