,countries,rmse,total_error
0,United Kingdom,37.747844118874006,-374.5383536207155
1,Italy,207.676147022513,2501.4503915508944
2,Germany,68.18710615799952,853.3345580204995
3,Spain,74.03149798378007,929.8232304951513
4,US,488.2374401240808,-3427.9588631081424
5,France,77.36232270709263,970.5092018280021
6,Belgium,83.37908721766316,1015.0830387152303
7,"Korea, South",3.770869499105196,48.153288605588926
8,Brazil,1415.6686186675636,-17615.19539261305
9,Iran,162.82444510856556,-2002.698952147448
10,Netherlands,63.885294815402034,815.5924578211574
11,Canada,19.404461448861525,-264.1779446831758
12,Turkey,33.710437305218264,424.70822421761915
13,Romania,5.082610723092245,65.37420827831392
14,Portugal,15.223544189142672,186.17015510795275
15,Sweden,31.90463063696483,404.21124138386324
16,Switzerland,25.112698308511398,317.11917455498104
17,Ireland,13.046990896149898,166.38811381755312
18,Hungary,8.211307685194095,105.93917365900582
19,Denmark,7.1433931141432865,87.57115824353298
20,Austria,7.637262784676448,97.38417210548921
21,Mexico,48.54100205782163,-667.4370071932208
22,India,506.50266793691407,-6612.980414053314
23,Ecuador,46.409150545525335,-598.736224969678
24,Russia,105.44859451404764,-1235.3828733128662
25,Peru,273.85341273443515,-3449.5330882600356
26,Indonesia,79.25685086312792,-1012.2630989523451
27,Poland,5.183764542060947,-58.751191049412284
28,Philippines,15.786262655604782,-49.52941263371537
29,Japan,1.8836011452235795,-8.250238746603753
30,Pakistan,72.50526433731702,814.6025812588384
