,countries,rmse,total_error
0,United Kingdom,28.749440143829933,-268.28440969037183
1,Italy,115.09777600634665,1360.1266601198408
2,Germany,51.83886568937175,646.2242122341758
3,Spain,70.79986718908522,882.2648446422778
4,US,569.6398675029005,-3820.006620243308
5,France,170.50433105313334,-2222.0536483611368
6,Belgium,84.57315987151406,1022.9823080460121
7,"Korea, South",5.3600617360957825,69.14423603929777
8,Brazil,886.7368684510659,-11090.965508694753
9,Iran,116.69691432537695,-1376.1191312931587
10,Netherlands,59.011157576140995,748.7664618852558
11,Canada,49.99600131759881,573.597296521689
12,Turkey,75.33081248565036,943.0087234783275
13,Romania,16.88955290809425,219.2895798212184
14,Portugal,14.056621386175502,170.59862135588062
15,Sweden,15.078124895688251,185.6269078223264
16,Switzerland,31.010253612101387,387.68721474711725
17,Ireland,24.300128538017095,309.4958175601901
18,Hungary,10.902605190180331,140.37569457587352
19,Denmark,12.727289741097646,163.44232715938006
20,Austria,13.039396957619138,165.38231237801386
21,Mexico,239.3489553618677,3103.389196979555
22,India,3108.3397042333827,37310.60818363638
23,Ecuador,8.216205881535293,93.37513978883271
24,Russia,65.49366154179863,-810.0024904024435
25,Peru,417.6508210434617,4858.117927792016
26,Indonesia,21.510982119319237,-238.4285176131226
27,Poland,3.703300270207825,-47.22181537711589
28,Philippines,11.109025607325021,-26.006805385327596
29,Japan,6.856536212943516,84.62582972470547
30,Pakistan,488.3019875164391,6188.900033107023
