,countries,rmse,total_error
0,United Kingdom,15.22933428111801,-89.93678667337736
1,Italy,274.70305452365864,3316.76932683713
2,Germany,42.976951572726165,537.0332980642642
3,Spain,228.5267124279133,2863.4806634619076
4,US,1035.4755455650768,14055.298395600104
5,France,225.01566829968047,2915.3857954922687
6,Belgium,57.51394981903689,701.6570307212935
7,"Korea, South",2.2365397577988975,26.98621950950576
8,Brazil,132.70827482978305,1452.9247306682482
9,Iran,137.73362743473257,-1688.9689895723077
10,Netherlands,80.80293661275036,1019.874932711496
11,Canada,36.48560273570619,418.1855876836401
12,Turkey,61.60853881822609,779.281500855536
13,Romania,3.24767190704046,-36.87857434381698
14,Portugal,15.261409296485343,185.63022944197363
15,Sweden,68.86288728271325,830.0268465498549
16,Switzerland,17.26899355836528,216.54310063699396
17,Ireland,17.987770896381644,229.0032883172144
18,Hungary,3.972126296747052,51.32218527341116
19,Denmark,8.007128223433531,99.03506677013456
20,Austria,9.38532488398166,117.89671544281306
21,Mexico,258.2906812351637,-3090.13061137158
22,India,1964.5867324247085,25285.499981377783
23,Ecuador,7.5563293172667825,-22.385727026418408
24,Russia,37.21660409992588,469.0506574135129
25,Peru,282.64680090119987,3161.3368903964765
26,Indonesia,34.19820926750987,-418.5279018987743
27,Poland,15.14919312299862,-194.48949570944632
28,Philippines,24.908454219132476,263.7385707810858
29,Japan,5.307031292801919,68.39661453003306
30,Pakistan,220.5975815212876,2757.057285869786
