,countries,rmse,total_error
0,United Kingdom,38.65840274105278,-404.19268704606657
1,Italy,484.40724726672244,5872.054617306451
2,Germany,72.49303360544765,898.3057268599949
3,Spain,155.36723542334406,1906.962625313949
4,US,336.4316230394433,-844.1505163239635
5,France,81.14914537320945,1002.7509598399694
6,Belgium,125.07513660016795,1538.6142667573379
7,"Korea, South",3.774849117664935,46.305281731300624
8,Brazil,1116.8253682858935,-13941.9970025589
9,Iran,120.64899344709893,-1459.5877523622175
10,Netherlands,54.59148372646271,686.3195694446093
11,Canada,11.993364760291959,-151.81065793928127
12,Turkey,66.68086626786354,834.8144830100098
13,Romania,3.4549076695382883,-42.81908661796007
14,Portugal,14.640983786313107,178.32026999836685
15,Sweden,30.570153797553285,379.93918503008683
16,Switzerland,27.193323626669198,340.41600886451926
17,Ireland,14.805705060888616,186.93081360351613
18,Hungary,7.703766155189505,97.85740565198849
19,Denmark,10.39783812439351,130.77090919464536
20,Austria,12.854630192142846,163.49271540946273
21,Mexico,808.8503294727973,-9824.669034757426
22,India,170.1980903537505,1323.170286177994
23,Ecuador,15.673510445132946,-179.44793205825727
24,Russia,7.51185553783251,-31.97512525758293
25,Peru,234.8231536709357,-2984.121193092713
26,Indonesia,44.80175234609521,-549.4244690115546
27,Poland,2.586289560328605,-30.401761178426284
28,Philippines,13.677625003322047,39.46608308439619
29,Japan,4.426532017402883,53.162684199587616
30,Pakistan,41.86857098560618,546.1913738849019
