,countries,rmse,total_error
0,United Kingdom,309.0452846518208,3742.815341270165
1,Italy,294.67586672977495,3565.928421096906
2,Germany,196.23218255415472,2402.868659072865
3,Spain,816.7432668869731,9745.51787218218
4,US,1266.8745645298472,16969.170534514968
5,France,199.92846355974874,2545.1772407589624
6,Belgium,161.50666628217525,1948.4601982343413
7,"Korea, South",3.724818334843033,47.30346485488917
8,Brazil,1676.115079556817,20114.394232222538
9,Iran,113.44053217758433,-1385.0759232985847
10,Netherlands,132.18229910401203,1649.4296121031825
11,Canada,236.23390509016085,2957.8515231776314
12,Turkey,82.87535177767214,1055.4561736224007
13,Romania,16.735259189026408,214.10541940009904
14,Portugal,21.929001495454937,265.03581328825544
15,Sweden,59.700426116402625,714.5154357367447
16,Switzerland,45.282398686685234,560.609375651105
17,Ireland,28.058945083311077,356.25510827127306
18,Hungary,9.380256239629338,121.14661167851416
19,Denmark,14.27677546605599,179.91207691030786
20,Austria,16.223572771963713,206.30445069821258
21,Mexico,1441.5260556232465,17583.017441688575
22,India,2160.4542843137806,27527.419958867933
23,Ecuador,85.03103367302793,1052.2755567643253
24,Russia,22.815595163801643,226.1488919983335
25,Peru,1305.7895475982195,15776.909668648768
26,Indonesia,70.4304684142066,-889.8333235075996
27,Poland,6.15747019823027,80.25219434855518
28,Philippines,18.06617972404505,152.14191451480252
29,Japan,3.942715072968289,47.89265519313814
30,Pakistan,938.0702137352915,11587.262692302957
